apprisk,type,tz,time,appcat,action,proto,dstserver,icmptype,srcmac,sentpkt,app,msg,dstport,subtype,trandisp,sentdelta,icmpcode,srcintfrole,transip,srcintf,durationdelta,appid,eventtime,sessionid,incidentserialno,rcvdpkt,srcserver,direction,masterdstmac,logid,dstintf,dstintfrole,rcvddelta,utmaction,policytype,mastersrcmac,srcport,transport,sentbyte,poluuid,vd,dstmac,identifier,duration,dstip,srcip,srccountry,dstcountry,rcvdpktdelta,rcvdbyte,level,sentpktdelta,policyid,devname,applist,service,countapp,devid,date,eventtype,icmpid
elevated,utm,-0700,21:11:37,Network.Service,pass,1,,0x03,,,ICMP,Network.Service: ICMP,,app-ctrl,,,0x03,undefined,,port7,,16206,1725768697256760161,61377,206427864,,,outgoing,,1059028704,port7,undefined,,,sniffer,,,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,,192.168.56.1,192.168.0.142,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,icmp/3/3,,FGVM02TM24011031,2024-09-07,signature,0x0000
elevated,utm,-0700,21:11:37,Network.Service,pass,1,,0x03,,,ICMP,Network.Service: ICMP,,app-ctrl,,,0x03,undefined,,port7,,16206,1725768697258763118,61379,206427866,,,outgoing,,1059028704,port7,undefined,,,sniffer,,,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,,192.168.232.1,192.168.0.142,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,icmp/3/3,,FGVM02TM24011031,2024-09-07,signature,0x0000
elevated,utm,-0700,21:11:37,Operational.Technology,pass,6,,,,,EtherNet.IP_Register.Session,Operational.Technology: EtherNet.IP_Register.Session,44818,app-ctrl,,,,undefined,,port7,,45418,1725768697256456074,61376,206427863,,,outgoing,,1059028704,port7,undefined,,,sniffer,,41249,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,,192.168.0.64,192.168.0.142,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,tcp/44818,,FGVM02TM24011031,2024-09-07,signature,
elevated,utm,-0700,21:11:37,Network.Service,pass,1,,0x03,,,ICMP,Network.Service: ICMP,,app-ctrl,,,0x03,undefined,,port7,,16206,1725768697257831201,61378,206427865,,,outgoing,,1059028704,port7,undefined,,,sniffer,,,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,,192.168.174.1,192.168.0.142,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,icmp/3/3,,FGVM02TM24011031,2024-09-07,signature,0x0000
elevated,utm,-0700,21:11:37,Network.Service,pass,1,,0x03,,,ICMP,Network.Service: ICMP,,app-ctrl,,,0x03,undefined,,port7,,16206,1725768697259446928,61380,206427867,,,outgoing,,1059028704,port7,undefined,,,sniffer,,,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,,192.168.1.190,192.168.0.142,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,icmp/3/3,,FGVM02TM24011031,2024-09-07,signature,0x0000
elevated,utm,-0700,21:11:37,Operational.Technology,pass,6,,,,,CIP_CM.Unconnected.Send,Operational.Technology: CIP_CM.Unconnected.Send,44818,app-ctrl,,,,undefined,,port7,,44195,1725768697260408258,61376,206427868,,,outgoing,,1059028704,port7,undefined,,,sniffer,,41249,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,,192.168.0.64,192.168.0.142,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,tcp/44818,,FGVM02TM24011031,2024-09-07,signature,
elevated,utm,-0700,21:11:37,Operational.Technology,pass,6,,,,,CIP_Response.Error.Path.Destination.Unknown,Operational.Technology: CIP_Response.Error.Path.Destination.Unknown,44818,app-ctrl,,,,undefined,,port7,,45368,1725768697261091774,61376,206427869,,,incoming,,1059028704,port7,undefined,,,sniffer,,41249,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,,192.168.0.64,192.168.0.142,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,tcp/44818,,FGVM02TM24011031,2024-09-07,signature,
elevated,traffic,-0700,21:11:37,Industrial,accept,6,0,,08:00:27:50:4c:14,7,CIP_Response.Error.Path.Destination.Unknown,,44818,sniffer,snat,95,,undefined,0.0.0.0,port7,1,45368,1725768697524007889,61376,,3,0,,24:41:8c:64:12:11,0004000017,port7,undefined,74,allow,sniffer,08:00:27:50:4c:14,41249,0,95,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,24:41:8c:64:12:11,,1,192.168.0.64,192.168.0.142,Reserved,Reserved,3,74,notice,7,4,FGDIT,,tcp/44818,3,FGVM02TM24011031,2024-09-07,,
elevated,traffic,-0700,21:11:56,Network.Service,accept,1,0,,08:00:27:50:4c:14,3,ICMP,,,sniffer,snat,318,,undefined,0.0.0.0,port7,20,16206,1725768716552478208,61380,,0,0,,02:10:18:38:61:2c,0004000017,port7,undefined,0,allow,sniffer,08:00:27:50:4c:14,,0,318,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,02:10:18:38:61:2c,0,20,192.168.1.190,192.168.0.142,Reserved,Reserved,0,0,notice,3,4,FGDIT,,icmp/3/3,1,FGVM02TM24011031,2024-09-07,,
elevated,traffic,-0700,21:11:57,Network.Service,accept,1,0,,08:00:27:50:4c:14,3,ICMP,,,sniffer,snat,318,,undefined,0.0.0.0,port7,20,16206,1725768716594526559,61377,,0,0,,02:10:18:38:61:2c,0004000017,port7,undefined,0,allow,sniffer,08:00:27:50:4c:14,,0,318,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,02:10:18:38:61:2c,0,20,192.168.56.1,192.168.0.142,Reserved,Reserved,0,0,notice,3,4,FGDIT,,icmp/3/3,1,FGVM02TM24011031,2024-09-07,,
elevated,traffic,-0700,21:11:57,Network.Service,accept,1,0,,08:00:27:50:4c:14,3,ICMP,,,sniffer,snat,318,,undefined,0.0.0.0,port7,20,16206,1725768716594555200,61379,,0,0,,02:10:18:38:61:2c,0004000017,port7,undefined,0,allow,sniffer,08:00:27:50:4c:14,,0,318,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,02:10:18:38:61:2c,0,20,192.168.232.1,192.168.0.142,Reserved,Reserved,0,0,notice,3,4,FGDIT,,icmp/3/3,1,FGVM02TM24011031,2024-09-07,,
elevated,traffic,-0700,21:11:57,Network.Service,accept,1,0,,08:00:27:50:4c:14,3,ICMP,,,sniffer,snat,318,,undefined,0.0.0.0,port7,20,16206,1725768716594543165,61378,,0,0,,02:10:18:38:61:2c,0004000017,port7,undefined,0,allow,sniffer,08:00:27:50:4c:14,,0,318,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,02:10:18:38:61:2c,0,20,192.168.174.1,192.168.0.142,Reserved,Reserved,0,0,notice,3,4,FGDIT,,icmp/3/3,1,FGVM02TM24011031,2024-09-07,,
